actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,bounded_value,canonical_stage,checkpoint_kind,complete,condition,deaths,discordant_harmed,discordant_improved,episode_count_exact,episodes,family,goal,horizon,integrity_equal,last_step,logdir,mean_action_length,median_action_length,objective,paired_delta_ci_high,paired_delta_ci_low,paired_delta_vs_original_frozen,policy_mode,repaired_checkpoint,requested_episodes,reset_count,returncode,seed,source_checkpoint,success_rate,successes
0.0003,0.0379933485770799,-0.0030132060714072213,134.56,1.3146144097072091e-05,134.56,False,stage4a,original,True,original_standard_h6,0,43,7,True,100,original_standard,chop_logs,6,True,13556,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_standard_h6/chop_logs/sampled/attempt_01,134.56,200.0,standard,-0.24,-0.48,-0.36,sampled,original,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.49,49
0.0003,0.025689591551644186,-0.011115037071383171,148.54,1.2383770430330987e-05,148.54,False,stage4a,original,True,original_standard_h6,0,21,5,True,50,original_standard,chop_logs,6,True,7477,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_standard_h6/chop_logs/deterministic/attempt_01,148.54,200.0,standard,-0.14,-0.5,-0.32,deterministic,original,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.4,20
0.0,0.10941833785603172,0.03129477960914676,106.24,1.751677340124176e-05,106.24,False,stage4a,original,True,original_reward_only_h15,0,14,28,True,100,original_reward_only,kill_goblin,15,True,10724,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_reward_only_h15/kill_goblin/sampled/attempt_01,106.24,82.0,reward_only,0.26,0.02,0.14,sampled,original,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.69,69
0.0,0.08794215705641423,0.01993130001818507,117.76,1.599893736602671e-05,117.76,False,stage4a,original,True,original_reward_only_h15,0,8,15,True,50,original_reward_only,kill_goblin,15,True,5938,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_reward_only_h15/kill_goblin/deterministic/attempt_01,117.76,115.5,reward_only,0.32,-0.04,0.14,deterministic,original,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.68,34
0.0,0.049094893119094894,0.017170021486637998,70.81,2.320679820640886e-05,70.81,False,stage4a,original,True,original_reward_only_h15,0,3,31,True,100,original_reward_only,bury_bones,15,True,7181,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_reward_only_h15/bury_bones/sampled/attempt_01,70.81,80.5,reward_only,0.38,0.18,0.28,sampled,original,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.97,97
0.0,0.053596859206413265,0.021009657199431365,79.44,2.1845739608041002e-05,79.44,False,stage4a,original,True,original_reward_only_h15,0,0,24,True,50,original_reward_only,bury_bones,15,True,4022,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_reward_only_h15/bury_bones/deterministic/attempt_01,79.44,88.5,reward_only,0.62,0.34,0.48,deterministic,original,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,1.0,50
0.0,0.06072652631017743,0.05727333562153149,91.73,1.813137531529911e-05,91.73,False,stage4a,original,True,original_reward_only_h15,0,20,10,True,100,original_reward_only,chop_logs,15,True,9273,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_reward_only_h15/chop_logs/sampled/attempt_01,91.73,56.5,reward_only,0.01,-0.21,-0.1,sampled,original,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.75,75
0.0,0.05412907708000813,0.05831692340352486,98.8,1.797063049857388e-05,98.8,False,stage4a,original,True,original_reward_only_h15,0,10,7,True,50,original_reward_only,chop_logs,15,True,4990,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_reward_only_h15/chop_logs/deterministic/attempt_01,98.8,64.0,reward_only,0.1,-0.22,-0.06,deterministic,original,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.66,33
0.0,0.050666767329774466,0.012376575565411605,91.26,1.6703692000070773e-05,91.26,False,stage4a,factual_only,True,factual_reward_only_h15,0,6,37,True,100,factual_reward_only,kill_goblin,15,True,9226,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/factual_reward_only_h15/kill_goblin/sampled/attempt_01,91.26,76.5,reward_only,0.42,0.2,0.31,sampled,factual_only,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/factual_only,0.86,86
0.0,0.059979024025068065,0.015681575779514755,124.18,1.6655185501054698e-05,124.18,False,stage4a,factual_only,True,factual_reward_only_h15,0,10,14,True,50,factual_reward_only,kill_goblin,15,True,6259,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/factual_reward_only_h15/kill_goblin/deterministic/attempt_01,124.18,144.0,reward_only,0.26,-0.12,0.08,deterministic,factual_only,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/factual_only,0.62,31
0.0,0.046956272743608266,0.014892433441501502,78.1,2.0896413591658068e-05,78.1,False,stage4a,factual_only,True,factual_reward_only_h15,0,4,31,True,100,factual_reward_only,bury_bones,15,True,7910,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/factual_reward_only_h15/bury_bones/sampled/attempt_01,78.1,79.5,reward_only,0.37,0.17,0.27,sampled,factual_only,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/factual_only,0.96,96
0.0,0.03977571978394853,0.016050813187693077,72.2,1.965089038353917e-05,72.2,False,stage4a,factual_only,True,factual_reward_only_h15,0,0,23,True,50,factual_reward_only,bury_bones,15,True,3660,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/factual_reward_only_h15/bury_bones/deterministic/attempt_01,72.2,77.5,reward_only,0.6,0.32,0.46,deterministic,factual_only,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/factual_only,0.98,49
0.0,0.06006087029629192,0.0445111875822333,81.28,1.743043832771244e-05,81.28,False,stage4a,factual_only,True,factual_reward_only_h15,0,11,8,True,100,factual_reward_only,chop_logs,15,True,8228,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/factual_reward_only_h15/chop_logs/sampled/attempt_01,81.28,58.5,reward_only,0.06,-0.12,-0.03,sampled,factual_only,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/factual_only,0.82,82
0.0,0.06266600675992612,0.05078349924998548,94.7,1.77659764543617e-05,94.7,False,stage4a,factual_only,True,factual_reward_only_h15,0,8,6,True,50,factual_reward_only,chop_logs,15,True,4785,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/factual_reward_only_h15/chop_logs/deterministic/attempt_01,94.7,54.0,reward_only,0.1,-0.18,-0.04,deterministic,factual_only,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/factual_only,0.68,34
0.0,0.038167183077214076,0.00878133808057544,99.35,1.6204864726436055e-05,99.35,False,stage4a,counterfactual,True,counterfactual_reward_only_h15,0,10,30,True,100,counterfactual_reward_only,kill_goblin,15,True,10035,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_reward_only_h15/kill_goblin/sampled/attempt_01,99.35,88.0,reward_only,0.32,0.08,0.2,sampled,counterfactual,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual,0.75,75
0.0,0.0351736145461715,0.00641694844484984,109.1,1.651089903078233e-05,109.1,False,stage4a,counterfactual,True,counterfactual_reward_only_h15,0,10,19,True,50,counterfactual_reward_only,kill_goblin,15,True,5505,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_reward_only_h15/kill_goblin/deterministic/attempt_01,109.1,107.5,reward_only,0.38,-0.02,0.18,deterministic,counterfactual,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual,0.72,36
0.0,0.017551864444909533,0.00480830968854344,69.87,2.3550659423888744e-05,69.87,False,stage4a,counterfactual,True,counterfactual_reward_only_h15,0,3,30,True,100,counterfactual_reward_only,bury_bones,15,True,7087,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_reward_only_h15/bury_bones/sampled/attempt_01,69.87,74.0,reward_only,0.37,0.17,0.27,sampled,counterfactual,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual,0.96,96
0.0,0.029840886546403836,0.012606965364081927,84.52,2.2428443423513697e-05,84.52,False,stage4a,counterfactual,True,counterfactual_reward_only_h15,0,2,23,True,50,counterfactual_reward_only,bury_bones,15,True,4276,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_reward_only_h15/bury_bones/deterministic/attempt_01,84.52,91.5,reward_only,0.58,0.26,0.42,deterministic,counterfactual,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual,0.94,47
0.0,0.04326178764367085,0.036791418716374986,97.41,1.694544242464591e-05,97.41,False,stage4a,counterfactual,True,counterfactual_reward_only_h15,0,22,11,True,100,counterfactual_reward_only,chop_logs,15,True,9841,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_reward_only_h15/chop_logs/sampled/attempt_01,97.41,71.0,reward_only,0.0,-0.22,-0.11,sampled,counterfactual,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual,0.74,74
0.0,0.03942426046884487,0.03073352953745168,103.0,1.684764103677792e-05,103.0,False,stage4a,counterfactual,True,counterfactual_reward_only_h15,0,9,6,True,50,counterfactual_reward_only,chop_logs,15,True,5200,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_reward_only_h15/chop_logs/deterministic/attempt_01,103.0,71.5,reward_only,0.08,-0.22,-0.06,deterministic,counterfactual,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual,0.66,33
0.0,0.02480670595663164,0.004241035881232075,136.3,1.44781077818989e-05,136.3,True,stage4a,counterfactual_bounded,True,counterfactual_bounded_reward_only_h15,0,27,26,True,100,counterfactual_bounded_reward_only,kill_goblin,15,True,13730,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_bounded_reward_only_h15/kill_goblin/sampled/attempt_01,136.3,186.5,reward_only,0.13,-0.15,-0.01,sampled,counterfactual_bounded,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,0.54,54
0.0,0.028612028870162586,0.0063462127247002845,100.6,1.5120455958205533e-05,100.6,True,stage4a,counterfactual_bounded,True,counterfactual_bounded_reward_only_h15,0,6,16,True,50,counterfactual_bounded_reward_only,kill_goblin,15,True,5080,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_bounded_reward_only_h15/kill_goblin/deterministic/attempt_01,100.6,93.0,reward_only,0.38,0.02,0.2,deterministic,counterfactual_bounded,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,0.74,37
0.0,0.015337566924229171,0.004447637330381636,81.09,2.194510073651831e-05,81.09,True,stage4a,counterfactual_bounded,True,counterfactual_bounded_reward_only_h15,0,3,30,True,100,counterfactual_bounded_reward_only,bury_bones,15,True,8209,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_bounded_reward_only_h15/bury_bones/sampled/attempt_01,81.09,92.0,reward_only,0.37,0.17,0.27,sampled,counterfactual_bounded,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,0.96,96
0.0,0.01900203346970506,0.006246143316952517,105.56,2.0391080243095373e-05,105.56,True,stage4a,counterfactual_bounded,True,counterfactual_bounded_reward_only_h15,0,5,16,True,50,counterfactual_bounded_reward_only,bury_bones,15,True,5328,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_bounded_reward_only_h15/bury_bones/deterministic/attempt_01,105.56,110.0,reward_only,0.38,0.04,0.22,deterministic,counterfactual_bounded,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,0.74,37
0.0,0.04440855865057938,0.029168495823631645,80.25,1.7627737305088527e-05,80.25,True,stage4a,counterfactual_bounded,True,counterfactual_bounded_reward_only_h15,0,13,14,True,100,counterfactual_bounded_reward_only,chop_logs,15,True,8125,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_bounded_reward_only_h15/chop_logs/sampled/attempt_01,80.25,59.0,reward_only,0.11,-0.09,0.01,sampled,counterfactual_bounded,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,0.86,86
0.0,0.03993520678676856,0.02411209471594338,108.48,1.674922087573936e-05,108.48,True,stage4a,counterfactual_bounded,True,counterfactual_bounded_reward_only_h15,0,6,7,True,50,counterfactual_bounded_reward_only,chop_logs,15,True,5474,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_bounded_reward_only_h15/chop_logs/deterministic/attempt_01,108.48,107.0,reward_only,0.16,-0.12,0.02,deterministic,counterfactual_bounded,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,0.74,37
0.0,0.21604039275721645,0.003937478494664991,93.66,1.5038277058535833e-05,93.66,True,stage4a,counterfactual_bounded,True,counterfactual_bounded_h6,0,4,36,True,100,bounded_ir,kill_goblin,6,True,9466,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_bounded_h6/kill_goblin/sampled/attempt_01,93.66,91.5,bounded,0.43,0.21,0.32,sampled,counterfactual_bounded,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,0.87,87
0.0,0.18305224865732278,0.010868324889411429,89.0,1.5601681964574745e-05,89.0,True,stage4a,counterfactual_bounded,True,counterfactual_bounded_h6,0,8,19,True,50,bounded_ir,kill_goblin,6,True,4500,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_bounded_h6/kill_goblin/deterministic/attempt_01,89.0,51.5,bounded,0.42,0.02,0.22,deterministic,counterfactual_bounded,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,0.76,38
0.0,0.10023230626239239,0.0026812678092849014,135.84,1.2201270870252667e-05,135.84,True,stage4a,counterfactual_bounded,True,counterfactual_bounded_h6,0,20,23,True,100,bounded_ir,bury_bones,6,True,13684,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_bounded_h6/bury_bones/sampled/attempt_01,135.84,132.0,bounded,0.16,-0.1,0.03,sampled,counterfactual_bounded,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,0.72,72
0.0,0.10374100652582069,-0.0007462419931929916,124.3,1.2160383052860612e-05,124.3,True,stage4a,counterfactual_bounded,True,counterfactual_bounded_h6,0,9,18,True,50,bounded_ir,bury_bones,6,True,6265,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_bounded_h6/bury_bones/deterministic/attempt_01,124.3,107.0,bounded,0.38,-0.02,0.18,deterministic,counterfactual_bounded,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,0.7,35
0.0,0.1261749094365779,-0.012207466542769678,122.07,1.365609904299659e-05,122.07,True,stage4a,counterfactual_bounded,True,counterfactual_bounded_h6,0,32,8,True,100,bounded_ir,chop_logs,6,True,12307,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_bounded_h6/chop_logs/sampled/attempt_01,122.07,106.5,bounded,-0.12,-0.36,-0.24,sampled,counterfactual_bounded,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,0.61,61
0.0,0.1370584782035224,0.005026593982986455,116.4,1.4628004240041308e-05,116.4,True,stage4a,counterfactual_bounded,True,counterfactual_bounded_h6,0,12,6,True,50,bounded_ir,chop_logs,6,True,5870,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_bounded_h6/chop_logs/deterministic/attempt_01,116.4,82.0,bounded,0.04,-0.28,-0.12,deterministic,counterfactual_bounded,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,0.6,30
0.0,0.1237420914753943,0.023436091019362296,93.98,1.582963723337129e-05,93.98,True,stage4a,counterfactual_bounded,True,counterfactual_bounded_h15,0,11,38,True,100,bounded_ir,kill_goblin,15,True,9498,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_bounded_h15/kill_goblin/sampled/attempt_01,93.98,79.0,bounded,0.4,0.14,0.27,sampled,counterfactual_bounded,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,0.82,82
0.0,0.1426057550368041,0.02257779800900865,115.18,1.468360597122047e-05,115.18,True,stage4a,counterfactual_bounded,True,counterfactual_bounded_h15,0,3,15,True,50,bounded_ir,kill_goblin,15,True,5809,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/counterfactual_bounded_h15/kill_goblin/deterministic/attempt_01,115.18,103.0,bounded,0.4,0.08,0.24,deterministic,counterfactual_bounded,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/checkpoints/counterfactual_bounded,0.78,39
